x,y
0.000001,-6.568284
100.000001,4.601392
200.000001,5.249420
300.000001,5.575122
400.000001,5.772084
500.000001,5.904015
600.000001,5.998525
700.000001,6.069539
800.000001,6.124842
900.000001,6.169125
1000.000001,6.205379
1100.000001,6.235607
1200.000001,6.261193
1300.000001,6.283131
1400.000001,6.302149
1500.000001,6.318792
1600.000001,6.333480
1700.000001,6.346538
1800.000001,6.358223
1900.000001,6.368740
2000.000001,6.378256
2100.000001,6.386908
2200.000001,6.394808
2300.000001,6.402050
2400.000001,6.408713
2500.000001,6.414863
2600.000001,6.420559
2700.000001,6.425847
2800.000001,6.430772
2900.000001,6.435367
3000.000001,6.439667
3100.000001,6.443698
3200.000001,6.447485
3300.000001,6.451049
3400.000001,6.454409
3500.000001,6.457583
3600.000001,6.460585
3700.000001,6.463429
3800.000001,6.466128
3900.000001,6.468691
4000.000001,6.471130
4100.000001,6.473452
4200.000001,6.475667
4300.000001,6.477781
4400.000001,6.479800
4500.000001,6.481732
4600.000001,6.483582
4700.000001,6.485355
4800.000001,6.487056
4900.000001,6.488688
5000.000001,6.490256
5100.000001,6.491764
5200.000001,6.493216
5300.000001,6.494613
5400.000001,6.495960
5500.000001,6.497258
5600.000001,6.498511
5700.000001,6.499721
5800.000001,6.500890
5900.000001,6.502020
6000.000001,6.503113
6100.000001,6.504170
6200.000001,6.505194
6300.000001,6.506186
6400.000001,6.507148
6500.000001,6.508080
6600.000001,6.508984
6700.000001,6.509862
6800.000001,6.510715
6900.000001,6.511543
7000.000001,6.512348
7100.000001,6.513130
7200.000001,6.513891
7300.000001,6.514631
7400.000001,6.515352
7500.000001,6.516054
7600.000001,6.516737
7700.000001,6.517403
7800.000001,6.518052
7900.000001,6.518685
8000.000001,6.519302
8100.000001,6.519905
8200.000001,6.520492
8300.000001,6.521066
8400.000001,6.521626
8500.000001,6.522173
8600.000001,6.522708
8700.000001,6.523230
8800.000001,6.523741
8900.000001,6.524241
9000.000001,6.524729
9100.000001,6.525207
9200.000001,6.525674
9300.000001,6.526132
9400.000001,6.526580
9500.000001,6.527018
9600.000001,6.527448
9700.000001,6.527869
9800.000001,6.528281
9900.000001,6.528685
10000.000001,6.529081
10100.000001,6.529469
10200.000001,6.529850
10300.000001,6.530223
10400.000001,6.530590
10500.000001,6.530949
10600.000001,6.531302
10700.000001,6.531648
10800.000001,6.531987
10900.000001,6.532321
11000.000001,6.532649
11100.000001,6.532970
11200.000001,6.533286
11300.000001,6.533597
11400.000001,6.533902
11500.000001,6.534202
11600.000001,6.534497
11700.000001,6.534786
11800.000001,6.535071
11900.000001,6.535351
12000.000001,6.535627
12100.000001,6.535898
12200.000001,6.536164
12300.000001,6.536427
12400.000001,6.536685
12500.000001,6.536939
12600.000001,6.537189
12700.000001,6.537435
12800.000001,6.537677
12900.000001,6.537915
13000.000001,6.538150
13100.000001,6.538382
13200.000001,6.538609
13300.000001,6.538834
13400.000001,6.539055
13500.000001,6.539273
13600.000001,6.539487
13700.000001,6.539699
13800.000001,6.539908
13900.000001,6.540113
14000.000001,6.540316
14100.000001,6.540516
14200.000001,6.540713
14300.000001,6.540907
14400.000001,6.541098
14500.000001,6.541287
14600.000001,6.541474
14700.000001,6.541657
14800.000001,6.541839
14900.000001,6.542018
15000.000001,6.542194
15100.000001,6.542369
15200.000001,6.542541
15300.000001,6.542710
15400.000001,6.542878
15500.000001,6.543043
15600.000001,6.543207
15700.000001,6.543368
15800.000001,6.543527
15900.000001,6.543684
16000.000001,6.543840
16100.000001,6.543993
16200.000001,6.544145
16300.000001,6.544294
16400.000001,6.544442
16500.000001,6.544588
16600.000001,6.544732
16700.000001,6.544875
16800.000001,6.545016
16900.000001,6.545155
17000.000001,6.545293
17100.000001,6.545429
17200.000001,6.545563
17300.000001,6.545696
17400.000001,6.545827
17500.000001,6.545957
17600.000001,6.546086
17700.000001,6.546213
17800.000001,6.546338
17900.000001,6.546462
18000.000001,6.546585
18100.000001,6.546706
18200.000001,6.546827
18300.000001,6.546945
18400.000001,6.547063
18500.000001,6.547179
18600.000001,6.547294
18700.000001,6.547408
18800.000001,6.547520
18900.000001,6.547632
19000.000001,6.547742
19100.000001,6.547851
19200.000001,6.547959
19300.000001,6.548066
19400.000001,6.548172
19500.000001,6.548276
19600.000001,6.548380
19700.000001,6.548482
19800.000001,6.548584
19900.000001,6.548684
